"Subject" "Activity" "Signals" "Mean"
"3" "walking" "tBodyAccJerk-std()-X" -0.635484688041056
"3" "walking" "tBodyAccJerk-std()-Y" -0.55721186773783
"3" "walking" "tBodyAccJerk-std()-Z" -0.796066240234604
"3" "walking" "tBodyGyro-std()-X" -0.699262195705865
"3" "walking" "tBodyGyro-std()-Y" -0.76302218170088
"3" "walking" "tBodyGyro-std()-Z" -0.709483440322581
"3" "walking" "tBodyGyroJerk-std()-X" -0.689328428607038
"3" "walking" "tBodyGyroJerk-std()-Y" -0.842659862111437
"3" "walking" "tBodyGyroJerk-std()-Z" -0.743028500565982
"3" "walking" "tBodyAccMag-std()" -0.591224780306452
"3" "walking" "tGravityAccMag-std()" -0.591224780306452
"3" "walking" "tBodyAccJerkMag-std()" -0.607658214170381
"3" "walking" "tBodyGyroMag-std()" -0.674010290979472
"3" "walking" "tBodyGyroJerkMag-std()" -0.80366136372434
"3" "walking" "fBodyAcc-std()-X" -0.623805015199413
"3" "walking" "fBodyAcc-std()-Y" -0.502753639795894
"3" "walking" "fBodyAcc-std()-Z" -0.657443765803519
"3" "walking" "fBodyAccJerk-std()-X" -0.657844055881525
"3" "walking" "fBodyAccJerk-std()-Y" -0.559851186088408
"3" "walking" "fBodyAccJerk-std()-Z" -0.81080601659824
"3" "walking" "fBodyGyro-std()-X" -0.719276622702346
"3" "walking" "fBodyGyro-std()-Y" -0.758505287214076
"3" "walking" "fBodyGyro-std()-Z" -0.751008875659824
"3" "walking" "fBodyAccMag-std()" -0.663079838985044
"3" "walking" "fBodyBodyAccJerkMag-std()" -0.615643694857361
"3" "walking" "fBodyBodyGyroMag-std()" -0.703839403007038
"3" "walking" "fBodyBodyGyroJerkMag-std()" -0.810032718739003
"3" "walking" "tBodyAcc-mean()-X" 0.273428719636364
"3" "walking" "tBodyAcc-mean()-Y" -0.017856067384956
"3" "walking" "tBodyAcc-mean()-Z" -0.106492632429097
"3" "walking" "tGravityAcc-mean()-X" 0.707814353343108
"3" "walking" "tGravityAcc-mean()-Y" -0.0260590480328739
"3" "walking" "tGravityAcc-mean()-Z" 0.0480937904190616
"3" "walking" "tBodyAccJerk-mean()-X" 0.0701731261988856
"3" "walking" "tBodyAccJerk-mean()-Y" 0.0144664329060411
"3" "walking" "tBodyAccJerk-mean()-Z" -0.000526818872875366
"3" "walking" "tBodyGyro-mean()-X" -0.0248490682828446
"3" "walking" "tBodyGyro-mean()-Y" -0.0743565308442815
"3" "walking" "tBodyGyro-mean()-Z" 0.0866875497119062
"3" "walking" "tBodyGyroJerk-mean()-X" -0.0991554609633431
"3" "walking" "tBodyGyroJerk-mean()-Y" -0.0401923943695015
"3" "walking" "tBodyGyroJerk-mean()-Z" -0.0521178264170088
"3" "walking" "tBodyAccMag-mean()" -0.563140802770059
"3" "walking" "tGravityAccMag-mean()" -0.563140802770059
"3" "walking" "tBodyAccJerkMag-mean()" -0.650182434328446
"3" "walking" "tBodyGyroMag-mean()" -0.643150121648094
"3" "walking" "tBodyGyroJerkMag-mean()" -0.784056656246334
"3" "walking" "fBodyAcc-mean()-X" -0.625733289873607
"3" "walking" "fBodyAcc-mean()-Y" -0.501779938505279
"3" "walking" "fBodyAcc-mean()-Z" -0.699656828592375
"3" "walking" "fBodyAcc-meanFreq()-X" -0.192817340495308
"3" "walking" "fBodyAcc-meanFreq()-Y" 0.0389282523284457
"3" "walking" "fBodyAcc-meanFreq()-Z" 0.00447261449052786
"3" "walking" "fBodyAccJerk-mean()-X" -0.645893496630499
"3" "walking" "fBodyAccJerk-mean()-Y" -0.582949919157742
"3" "walking" "fBodyAccJerk-mean()-Z" -0.780101644193548
"3" "walking" "fBodyAccJerk-meanFreq()-X" -0.0476941200470968
"3" "walking" "fBodyAccJerk-meanFreq()-Y" -0.236874240885924
"3" "walking" "fBodyAccJerk-meanFreq()-Z" -0.193657539305073
"3" "walking" "fBodyGyro-mean()-X" -0.642097719778592
"3" "walking" "fBodyGyro-mean()-Y" -0.775144985073314
"3" "walking" "fBodyGyro-mean()-Z" -0.670734708996481
"3" "walking" "fBodyGyro-meanFreq()-X" -0.102568067670674
"3" "walking" "fBodyGyro-meanFreq()-Y" -0.167675025582991
"3" "walking" "fBodyGyro-meanFreq()-Z" -0.0321862688221114
"3" "walking" "fBodyAccMag-mean()" -0.579076453758064
"3" "walking" "fBodyAccMag-meanFreq()" 0.0770665587562757
"3" "walking" "fBodyBodyAccJerkMag-mean()" -0.604752108072727
"3" "walking" "fBodyBodyAccJerkMag-meanFreq()" 0.11231984174566
"3" "walking" "fBodyBodyGyroMag-mean()" -0.716822144279179
"3" "walking" "fBodyBodyGyroMag-meanFreq()" -0.0846075231245126
"3" "walking" "fBodyBodyGyroJerkMag-mean()" -0.810085498651026
"3" "walking" "fBodyBodyGyroJerkMag-meanFreq()" 0.0599628733252199
"4" "walking" "tBodyAcc-std()-X" -0.68386446609433
"4" "walking" "tBodyAcc-std()-Y" -0.589609330539691
"4" "walking" "tBodyAcc-std()-Z" -0.741959040257732
"4" "walking" "tGravityAcc-std()-X" -0.967576704329897
"4" "walking" "tGravityAcc-std()-Y" -0.94170652321134
"4" "walking" "tGravityAcc-std()-Z" -0.936724233273196
"4" "walking" "tBodyAccJerk-std()-X" -0.701066737438144
"4" "walking" "tBodyAccJerk-std()-Y" -0.670976701376289
"4" "walking" "tBodyAccJerk-std()-Z" -0.859502524793814
"4" "walking" "tBodyGyro-std()-X" -0.750915960835052
"4" "walking" "tBodyGyro-std()-Y" -0.828888294742268
"4" "walking" "tBodyGyro-std()-Z" -0.745904225824742
"4" "walking" "tBodyGyroJerk-std()-X" -0.778479585721649
"4" "walking" "tBodyGyroJerk-std()-Y" -0.911436316752577
"4" "walking" "tBodyGyroJerk-std()-Z" -0.790578254329897
"4" "walking" "tBodyAccMag-std()" -0.670122122716495
"4" "walking" "tGravityAccMag-std()" -0.670122122716495
"4" "walking" "tBodyAccJerkMag-std()" -0.71024608685567
"4" "walking" "tBodyGyroMag-std()" -0.749105473365979
"4" "walking" "tBodyGyroJerkMag-std()" -0.870579517938144
"4" "walking" "fBodyAcc-std()-X" -0.679316495457474
"4" "walking" "fBodyAcc-std()-Y" -0.60587907902268
"4" "walking" "fBodyAcc-std()-Z" -0.739920171907216
"4" "walking" "fBodyAccJerk-std()-X" -0.710952957814433
"4" "walking" "fBodyAccJerk-std()-Y" -0.679116699128866
"4" "walking" "fBodyAccJerk-std()-Z" -0.872348615876289
"4" "walking" "fBodyGyro-std()-X" -0.765931837365979
"4" "walking" "fBodyGyro-std()-Y" -0.818105282886598
"4" "walking" "fBodyGyro-std()-Z" -0.778863649278351
"4" "walking" "fBodyAccMag-std()" -0.724979750463917
"4" "walking" "fBodyBodyAccJerkMag-std()" -0.723261097164948
"4" "walking" "fBodyBodyGyroMag-std()" -0.769330760360825
"4" "walking" "fBodyBodyGyroJerkMag-std()" -0.884187806804124
"4" "walking" "tBodyAcc-mean()-X" 0.277034464752577
"4" "walking" "tBodyAcc-mean()-Y" -0.0133496817746907
"4" "walking" "tBodyAcc-mean()-Z" -0.105916135927835
"4" "walking" "tGravityAcc-mean()-X" 0.731456509896907
"4" "walking" "tGravityAcc-mean()-Y" 0.072347989306416
"4" "walking" "tGravityAcc-mean()-Z" 0.193993433768041
"4" "walking" "tBodyAccJerk-mean()-X" 0.0780162237953608
"4" "walking" "tBodyAccJerk-mean()-Y" -0.0010311298138299
"4" "walking" "tBodyAccJerk-mean()-Z" -0.00737070069603093
"4" "walking" "tBodyGyro-mean()-X" -0.0298726752979381
"4" "walking" "tBodyGyro-mean()-Y" -0.0750086556675258
"4" "walking" "tBodyGyro-mean()-Z" 0.0956607416628866
"4" "walking" "tBodyGyroJerk-mean()-X" -0.10509869233866
"4" "walking" "tBodyGyroJerk-mean()-Y" -0.0410624426912371
"4" "walking" "tBodyGyroJerk-mean()-Z" -0.060866534304433
"4" "walking" "tBodyAccMag-mean()" -0.637532979814948
"4" "walking" "tGravityAccMag-mean()" -0.637532979814948
"4" "walking" "tBodyAccJerkMag-mean()" -0.72234055742268
"4" "walking" "tBodyGyroMag-mean()" -0.708221087886598
"4" "walking" "tBodyGyroJerkMag-mean()" -0.849581355824742
"4" "walking" "fBodyAcc-mean()-X" -0.698994344226804
"4" "walking" "fBodyAcc-mean()-Y" -0.610966605674742
"4" "walking" "fBodyAcc-mean()-Z" -0.784964119020619
"4" "walking" "fBodyAcc-meanFreq()-X" -0.15574790130299
"4" "walking" "fBodyAcc-meanFreq()-Y" 0.0520271215242268
"4" "walking" "fBodyAcc-meanFreq()-Z" -0.0138445406976804
"4" "walking" "fBodyAccJerk-mean()-X" -0.717973724971649
"4" "walking" "fBodyAccJerk-mean()-Y" -0.684648403917526
"4" "walking" "fBodyAccJerk-mean()-Z" -0.845383895412371
"4" "walking" "fBodyAccJerk-meanFreq()-X" 0.0388340995747423
"4" "walking" "fBodyAccJerk-meanFreq()-Y" -0.174386827172165
"4" "walking" "fBodyAccJerk-meanFreq()-Z" -0.0764758920417526
"4" "walking" "fBodyGyro-mean()-X" -0.708097003278351
"4" "walking" "fBodyGyro-mean()-Y" -0.851859241237113
"4" "walking" "fBodyGyro-mean()-Z" -0.723913683350515
"4" "walking" "fBodyGyro-meanFreq()-X" -0.145349222123196
"4" "walking" "fBodyGyro-meanFreq()-Y" -0.357592715106186
"4" "walking" "fBodyGyro-meanFreq()-Z" -0.023592604357732
"4" "walking" "fBodyAccMag-mean()" -0.668273665958763
"4" "walking" "fBodyAccMag-meanFreq()" 0.0691602833970103
"4" "walking" "fBodyBodyAccJerkMag-mean()" -0.702045896773196
"4" "walking" "fBodyBodyAccJerkMag-meanFreq()" 0.165043041249278
"4" "walking" "fBodyBodyGyroMag-mean()" -0.785172936701031
"4" "walking" "fBodyBodyGyroMag-meanFreq()" -0.157891340330412
"4" "walking" "fBodyBodyGyroJerkMag-mean()" -0.86760194427835
"4" "walking" "fBodyBodyGyroJerkMag-meanFreq()" 0.144910348074227
"4" "walking_upstairs" "tBodyAcc-std()-X" -0.481157815330894
"4" "walking_upstairs" "tBodyAcc-std()-Y" -0.384255322007236
"4" "walking_upstairs" "tBodyAcc-std()-Z" -0.658285719430894
"4" "walking_upstairs" "tGravityAcc-std()-X" -0.954845868211382
"4" "walking_upstairs" "tGravityAcc-std()-Y" -0.940959838617886
"4" "walking_upstairs" "tGravityAcc-std()-Z" -0.948783616341463
"4" "walking_upstairs" "tBodyAccJerk-std()-X" -0.522686832030976
"4" "walking_upstairs" "tBodyAccJerk-std()-Y" -0.446980128646341
"4" "walking_upstairs" "tBodyAccJerk-std()-Z" -0.817881987560976
"4" "walking_upstairs" "tBodyGyro-std()-X" -0.623295736308943
"4" "walking_upstairs" "tBodyGyro-std()-Y" -0.749889456666667
"4" "walking_upstairs" "tBodyGyro-std()-Z" -0.695570737073171
"4" "walking_upstairs" "tBodyGyroJerk-std()-X" -0.637528066829268
"4" "walking_upstairs" "tBodyGyroJerk-std()-Y" -0.888412003333333
"4" "walking_upstairs" "tBodyGyroJerk-std()-Z" -0.681795418349593
"4" "walking_upstairs" "tBodyAccMag-std()" -0.50629736504065
"4" "walking_upstairs" "tGravityAccMag-std()" -0.50629736504065
"4" "walking_upstairs" "tBodyAccJerkMag-std()" -0.547890232756098
"4" "walking_upstairs" "tBodyGyroMag-std()" -0.639915777398374
"4" "walking_upstairs" "tBodyGyroJerkMag-std()" -0.802559941951219
"4" "walking_upstairs" "fBodyAcc-std()-X" -0.468588371045528
"4" "walking_upstairs" "fBodyAcc-std()-Y" -0.422334649479756
"4" "walking_upstairs" "fBodyAcc-std()-Z" -0.659623483821138
"4" "walking_upstairs" "fBodyAccJerk-std()-X" -0.540002452644715
"4" "walking_upstairs" "fBodyAccJerk-std()-Y" -0.459377588636585
"4" "walking_upstairs" "fBodyAccJerk-std()-Z" -0.841927060081301
"4" "walking_upstairs" "fBodyGyro-std()-X" -0.652062731170732
"4" "walking_upstairs" "fBodyGyro-std()-Y" -0.727336206422764
"4" "walking_upstairs" "fBodyGyro-std()-Z" -0.748519078617886
"4" "walking_upstairs" "fBodyAccMag-std()" -0.590882542479675
"4" "walking_upstairs" "fBodyBodyAccJerkMag-std()" -0.576991683357724
"4" "walking_upstairs" "fBodyBodyGyroMag-std()" -0.674631635121951
"4" "walking_upstairs" "fBodyBodyGyroJerkMag-std()" -0.829831474634146
"4" "walking_upstairs" "tBodyAcc-mean()-X" 0.269685855146341
"4" "walking_upstairs" "tBodyAcc-mean()-Y" -0.0171085099442602
"4" "walking_upstairs" "tBodyAcc-mean()-Z" -0.110053359325203
"4" "walking_upstairs" "tGravityAcc-mean()-X" 0.667377493902439
"4" "walking_upstairs" "tGravityAcc-mean()-Y" 0.176064219895122
"4" "walking_upstairs" "tGravityAcc-mean()-Z" 0.117030634772358
"4" "walking_upstairs" "tBodyAccJerk-mean()-X" 0.080200587601626
"4" "walking_upstairs" "tBodyAccJerk-mean()-Y" 0.0106812194621382
"4" "walking_upstairs" "tBodyAccJerk-mean()-Z" -0.00737856315243902
"4" "walking_upstairs" "tBodyGyro-mean()-X" -0.027473566188374
"4" "walking_upstairs" "tBodyGyro-mean()-Y" -0.0845813729861789
"4" "walking_upstairs" "tBodyGyro-mean()-Z" 0.0958069867471545
"4" "walking_upstairs" "tBodyGyroJerk-mean()-X" -0.112213469653659
"4" "walking_upstairs" "tBodyGyroJerk-mean()-Y" -0.0384344734528455
"4" "walking_upstairs" "tBodyGyroJerk-mean()-Z" -0.0529863681443902
"4" "walking_upstairs" "tBodyAccMag-mean()" -0.441789745892683
"4" "walking_upstairs" "tGravityAccMag-mean()" -0.441789745892683
"4" "walking_upstairs" "tBodyAccJerkMag-mean()" -0.551665062753089
"4" "walking_upstairs" "tBodyGyroMag-mean()" -0.574385249590244
"4" "walking_upstairs" "tBodyGyroJerkMag-mean()" -0.771259192195122
"4" "walking_upstairs" "fBodyAcc-mean()-X" -0.518103409715447
"4" "walking_upstairs" "fBodyAcc-mean()-Y" -0.391561268041463
"4" "walking_upstairs" "fBodyAcc-mean()-Z" -0.708346275365854
"4" "walking_upstairs" "fBodyAcc-meanFreq()-X" -0.229896701265041
"4" "walking_upstairs" "fBodyAcc-meanFreq()-Y" 0.136415181912195
"4" "walking_upstairs" "fBodyAcc-meanFreq()-Z" -0.0204555236743252
"4" "walking_upstairs" "fBodyAccJerk-mean()-X" -0.548003358486179
"4" "walking_upstairs" "fBodyAccJerk-mean()-Y" -0.470861077819187
"4" "walking_upstairs" "fBodyAccJerk-mean()-Z" -0.793248930406504
"4" "walking_upstairs" "fBodyAccJerk-meanFreq()-X" -0.0626525261543089
"4" "walking_upstairs" "fBodyAccJerk-meanFreq()-Y" -0.190358689715447
"4" "walking_upstairs" "fBodyAccJerk-meanFreq()-Z" -0.164332976294309
"4" "walking_upstairs" "fBodyGyro-mean()-X" -0.537445270313821
"4" "walking_upstairs" "fBodyGyro-mean()-Y" -0.799459630325203
"4" "walking_upstairs" "fBodyGyro-mean()-Z" -0.634729117447154
"4" "walking_upstairs" "fBodyGyro-meanFreq()-X" -0.0761993841779675
"4" "walking_upstairs" "fBodyGyro-meanFreq()-Y" -0.403312438185366
"4" "walking_upstairs" "fBodyGyro-meanFreq()-Z" 0.0995517018569106
"4" "walking_upstairs" "fBodyAccMag-mean()" -0.497723469494309
"4" "walking_upstairs" "fBodyAccMag-meanFreq()" 0.139269821727642
"4" "walking_upstairs" "fBodyBodyAccJerkMag-mean()" -0.529301794643089
"4" "walking_upstairs" "fBodyBodyAccJerkMag-meanFreq()" 0.153282705439837
"4" "walking_upstairs" "fBodyBodyGyroMag-mean()" -0.683314955211382
"4" "walking_upstairs" "fBodyBodyGyroMag-meanFreq()" -0.0842086255799187
"4" "walking_upstairs" "fBodyBodyGyroJerkMag-mean()" -0.793458132276423
"4" "walking_upstairs" "fBodyBodyGyroJerkMag-meanFreq()" 0.181417870697967
"5" "walking" "tBodyAcc-std()-X" -0.507691011391722
"5" "walking" "tBodyAcc-std()-Y" -0.402724906078146
"5" "walking" "tBodyAcc-std()-Z" -0.646443640175497
"5" "walking" "tGravityAcc-std()-X" -0.964629108807947
"5" "walking" "tGravityAcc-std()-Y" -0.939973777950331
"5" "walking" "tGravityAcc-std()-Z" -0.94207867884106
"5" "walking" "tBodyAccJerk-std()-X" -0.575890535679801
"5" "walking" "tBodyAccJerk-std()-Y" -0.506544358609603
"5" "walking" "tBodyAccJerk-std()-Z" -0.78456199486755
"5" "walking" "tBodyGyro-std()-X" -0.709955676983444
"5" "walking" "tBodyGyro-std()-Y" -0.705638306688742
"5" "walking" "tBodyGyro-std()-Z" -0.606589817380795
"5" "walking" "tBodyGyroJerk-std()-X" -0.662581310334437
"5" "walking" "tBodyGyroJerk-std()-Y" -0.774114270364238
"5" "walking" "tBodyGyroJerk-std()-Z" -0.564680771249007
"5" "walking" "tBodyAccMag-std()" -0.52162345171192
"5" "walking" "tGravityAccMag-std()" -0.52162345171192
